title,artist,bpm,camelotKey,durationSeconds,energy,filePath,actual_bpm,bpm_confidence,actual_key,key_confidence,camelot,tempo_family,energy_score,energy_level,rms_mean,rms_peak,dynamic_range,onset_density,transient_density,spectral_centroid,spectral_rolloff,zero_crossing_rate,brightness,density,sample_rate,channels,beats_detected,analysis_version
Lovefood,Michael Mayer,126.05,9A,271.627,0.5002,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/23. Michael Mayer - Lovefood.mp3,126.05,0.83,E minor,0.239,9A,dance,50.02,3,0.144585,0.603521,0.576301,327.333,1.243136,3212.294,6583.56,0.082963,0.1457,1.0,44100,2,157,0618B_v1.0.0
Losing Control (Richie Hawtin Remix),DBX,129.2,6A,390.061,0.7661,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/24. DBX - Losing Control (Richie Hawtin Remix).mp3,129.2,0.996,G minor,0.347,6A,dance,76.61,4,0.381969,0.598363,0.59835,478.667,1.907921,2527.38,5707.429,0.019452,0.1146,1.0,44100,2,193,0618B_v1.0.0
Dauerläufer,MRI,129.2,2A,417.046,0.4215,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/25. MRI - Dauerläufer.mp3,129.2,0.846,D# minor,0.436,2A,dance,42.15,3,0.068399,0.456735,0.456735,320.667,1.411052,1520.231,2548.432,0.037927,0.0689,1.0,44100,2,164,0618B_v1.0.0
Mostra,Petre Inspirescu,126.05,10A,701.624,0.5599,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/26. Petre Inspirescu - Mostra.mp3,126.05,0.994,B minor,0.242,10A,dance,55.99,3,0.143056,0.446757,0.446714,426.667,2.042998,3352.205,7172.879,0.033874,0.152,1.0,44100,2,188,0618B_v1.0.0
Bau,Rhadoo,126.05,1A,559.753,0.623,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/27. Rhadoo - Bau.mp3,126.05,0.994,G# minor,0.16,1A,dance,62.3,4,0.22767,0.625089,0.625033,396.0,1.822952,1592.325,3298.894,0.010724,0.0722,1.0,44100,2,188,0618B_v1.0.0
Spastik (Dubfire Rework),Plastikman,129.2,2A,568.19,0.6438,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/28. Plastikman - Spastik (Dubfire Rework).mp3,129.2,0.975,D# minor,0.06,2A,dance,64.38,4,0.15785,0.550999,0.550479,500.667,2.319093,3240.622,6665.379,0.068411,0.147,1.0,44100,2,189,0618B_v1.0.0
Orbitalife,Johnny D,129.2,1A,714.376,0.609,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/29. Johnny D - Orbitalife.mp3,129.2,0.991,G# minor,0.192,1A,dance,60.9,4,0.136864,0.618199,0.618193,430.0,2.067567,5014.826,9954.751,0.129179,0.2274,1.0,44100,2,192,0618B_v1.0.0
Swap,Lawrence,126.05,6B,392.047,0.314,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/30. Lawrence - Swap.mp3,126.05,0.815,A# major,0.199,6B,dance,31.4,2,0.09709,0.42136,0.42136,162.667,1.203086,1672.2,3387.955,0.029614,0.0758,0.5422,44100,2,154,0618B_v1.0.0
The Audience,"Herbert, Matthew Herbert",120.19,7A,375.973,0.4686,"/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/31. Herbert, Matthew Herbert - The Audience.mp3",120.19,1.0,D minor,0.088,7A,mid,46.86,3,0.124145,0.501499,0.501499,322.0,1.452997,2892.296,6070.447,0.042076,0.1312,1.0,44100,2,181,0618B_v1.0.0
Marionette,Mathew Jonson,129.2,2B,682.922,0.4777,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/32. Mathew Jonson - Marionette.mp3,129.2,0.996,F# major,0.141,2B,dance,47.77,3,0.131219,0.570408,0.570408,418.0,0.857315,725.868,887.811,0.012605,0.0329,1.0,44100,2,193,0618B_v1.0.0
The Geklöppel Continues,DJ Koze,114.84,11B,374.022,0.549,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/33. DJ Koze - The Geklöppel Continues.mp3,114.84,0.482,A major,0.169,11B,mid,54.9,3,0.159092,0.489775,0.489775,400.0,1.936509,3283.675,7238.853,0.06054,0.1489,1.0,44100,2,83,0618B_v1.0.0
Orange Mistake,"Luciano, Quenum",126.05,6A,700.892,0.4314,"/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/34. Luciano, Quenum - Orange Mistake.mp3",126.05,0.756,G minor,0.175,6A,dance,43.14,3,0.168669,0.459215,0.459178,312.667,0.653142,2693.316,4684.499,0.118617,0.1221,1.0,44100,2,143,0618B_v1.0.0
