title,artist,bpm,camelotKey,durationSeconds,energy,filePath,actual_bpm,bpm_confidence,actual_key,key_confidence,camelot,tempo_family,energy_score,energy_level,rms_mean,rms_peak,dynamic_range,onset_density,transient_density,spectral_centroid,spectral_rolloff,zero_crossing_rate,brightness,density,sample_rate,channels,beats_detected,analysis_version
"M04a (Full 12"" Length)",Maurizio,126.05,3B,400.223,0.6138,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/67. Maurizio - M04a (Full 12'' Length).mp3,126.05,1.0,C# major,0.149,3B,dance,61.38,4,0.220534,0.611192,0.611192,382.667,1.838121,2090.808,3855.81,0.030558,0.0948,1.0,44100,2,189,0618B_v1.0.0
Earworm (Original Mix),STL,114.84,4B,390.166,0.4993,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/68. STL - Earworm (Original Mix).mp3,114.84,0.987,G# major,0.135,4B,mid,49.93,3,0.145601,0.53498,0.53498,330.667,1.637638,2411.291,5316.146,0.032916,0.1094,1.0,44100,2,170,0618B_v1.0.0
Cinza De Fenix,Melchior Productions Ltd.,123.05,6A,623.701,0.496,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/69. Melchior Productions Ltd. - Cinza De Fenix.mp3,123.05,1.0,G minor,0.377,6A,mid,49.6,3,0.074071,0.34407,0.343862,405.333,2.257302,3642.356,6636.921,0.106075,0.1652,1.0,44100,2,185,0618B_v1.0.0
Borrowed Gear,Marc Houle,123.05,8B,271.048,0.4161,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/70. Marc Houle - Borrowed Gear.mp3,123.05,0.986,C major,0.179,8B,mid,41.61,3,0.050658,0.201331,0.201288,422.0,1.826658,2713.971,5352.92,0.043191,0.1231,1.0,44100,2,182,0618B_v1.0.0
Rodeo (Crowd Pleaser Remix),UND,120.19,5B,514.352,0.4951,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/71. UND - Rodeo (Crowd Pleaser Remix).mp3,120.19,0.621,D# major,0.09,5B,mid,49.51,3,0.190435,0.696245,0.696228,251.333,1.225213,1769.322,3074.848,0.040451,0.0802,0.8378,44100,2,112,0618B_v1.0.0
The Girl from Botany Bay (Original Mix),Minilogue,129.2,5B,650.584,0.3373,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/72. Minilogue - The Girl from Botany Bay (Original Mix).mp3,129.2,0.991,D# major,0.047,5B,dance,33.73,2,0.046027,0.378492,0.378492,240.0,1.329748,2141.792,4188.297,0.057361,0.0971,0.8,44100,2,192,0618B_v1.0.0
Over The Ice,The Field,126.05,6A,416.0,0.5382,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/73. The Field - Over The Ice.mp3,126.05,1.0,G minor,0.008,6A,dance,53.82,3,0.226288,0.474617,0.474607,351.333,1.336522,2222.686,4660.861,0.01935,0.1008,1.0,44100,2,189,0618B_v1.0.0
Untitled A1,Kassem Mosse,124.53,6A,832.106,0.3661,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/74. Kassem Mosse - Untitled A1.mp3,124.53,0.225,G minor,0.345,6A,dance,36.61,2,0.070861,0.394606,0.394606,258.667,1.311058,2726.271,5320.807,0.055247,0.1236,0.8622,44100,2,42,0618B_v1.0.0
Humusweg,Ricardo Villalobos,129.2,11A,756.053,0.4302,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/75. Ricardo Villalobos - Humusweg.mp3,129.2,0.949,F# minor,0.071,11A,dance,43.02,3,0.13774,0.556103,0.556099,251.333,1.173024,821.501,1420.436,0.012573,0.0373,0.8378,44100,2,184,0618B_v1.0.0
Pride Is Weaker Than Love,Michael Mayer,129.2,11A,420.128,0.6189,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/76. Michael Mayer - Pride Is Weaker Than Love.mp3,129.2,0.98,F# minor,0.157,11A,dance,61.89,4,0.210352,0.586266,0.586264,405.333,1.834574,3464.497,7122.951,0.075908,0.1571,1.0,44100,2,190,0618B_v1.0.0
Killerteppich,"Robag Wruhme, Wighnomy Brothers",126.05,6A,360.857,0.5856,"/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/77. Robag Wruhme, Wighnomy Brothers - Killerteppich.mp3",126.05,0.968,G minor,0.349,6A,dance,58.56,3,0.13182,0.477689,0.477689,492.667,2.169679,2021.009,4118.117,0.02556,0.0917,1.0,44100,2,183,0618B_v1.0.0
Like Yesterday (Original),Christopher Rau,120.19,1A,432.526,0.5426,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/78. Christopher Rau - Like Yesterday (Original).mp3,120.19,1.0,G# minor,0.102,1A,mid,54.26,3,0.153447,0.469559,0.46955,476.667,1.586866,2359.096,4666.822,0.03835,0.107,1.0,44100,2,181,0618B_v1.0.0
Stealing Moves,Matthew Dear,129.2,3B,412.148,0.7719,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/79. Matthew Dear - Stealing Moves.mp3,129.2,0.996,C# major,0.062,3B,dance,77.19,4,0.316215,0.641276,0.641276,526.0,2.246422,2294.44,4902.54,0.027516,0.1041,1.0,44100,2,193,0618B_v1.0.0
Der Tanz Der Gluehwuermchen,Dominik Eulberg,120.19,8B,379.325,0.507,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/80. Dominik Eulberg - Der Tanz Der Gluehwuermchen.mp3,120.19,0.965,C major,0.113,8B,mid,50.7,3,0.141476,0.625864,0.625863,323.333,1.437047,2690.623,5474.181,0.068337,0.122,1.0,44100,2,174,0618B_v1.0.0
Loplop,Thomas Brinkmann,123.05,6A,548.337,0.409,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/81. Thomas Brinkmann - Loplop.mp3,123.05,0.769,G minor,0.2,6A,mid,40.9,3,0.171918,0.500692,0.50054,236.0,0.977226,1029.791,1849.844,0.013754,0.0467,0.7867,44100,2,142,0618B_v1.0.0
Galantar,Petre Inspirescu,126.05,6A,516.102,0.5274,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/82. Petre Inspirescu - Galantar.mp3,126.05,0.963,G minor,0.045,6A,dance,52.74,3,0.138727,0.579062,0.57899,366.667,1.56713,2849.246,5398.82,0.074662,0.1292,1.0,44100,2,182,0618B_v1.0.0
Black Ice (Original Mix),Smallpeople,120.19,11A,433.836,0.5307,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/83. Smallpeople - Black Ice (Original Mix).mp3,120.19,0.998,F# minor,0.012,11A,mid,53.07,3,0.167372,0.575167,0.574708,339.333,1.633306,1978.096,3693.947,0.029183,0.0897,1.0,44100,2,180,0618B_v1.0.0
Todo Mundo,Melchior Productions Ltd.,126.05,7A,679.55,0.6117,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/84. Melchior Productions Ltd. - Todo Mundo.mp3,126.05,0.941,D minor,0.116,7A,dance,61.17,4,0.217607,0.657236,0.644147,364.0,1.700173,3520.731,7572.076,0.057823,0.1597,1.0,44100,2,178,0618B_v1.0.0
Lump,James Holden,126.05,7A,370.313,0.6423,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/85. James Holden - Lump.mp3,126.05,0.984,D minor,0.233,7A,dance,64.23,4,0.203776,0.689687,0.689687,445.333,1.864357,1813.115,3523.473,0.024501,0.0822,1.0,44100,2,186,0618B_v1.0.0
Baby´s On Fire,Superpitcher,126.05,4B,377.288,0.4574,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/86. Superpitcher - Baby´s On Fire.mp3,126.05,0.994,G# major,0.274,4B,dance,45.74,3,0.166372,0.473306,0.473299,255.333,1.418049,2734.548,6090.935,0.044532,0.124,0.8511,44100,2,188,0618B_v1.0.0
Meandyou.dub,Lowtec,114.84,12A,368.398,0.5905,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/87. Lowtec - Meandyou.dub.mp3,114.84,0.993,C# minor,0.082,12A,mid,59.05,3,0.252704,0.681009,0.680992,359.333,1.380347,1207.076,2249.425,0.02422,0.0547,1.0,44100,2,171,0618B_v1.0.0
India In Me,Cobblestone Jazz,129.2,1A,814.179,0.4512,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/88. Cobblestone Jazz - India In Me.mp3,129.2,0.996,G# minor,0.092,1A,dance,45.12,3,0.033835,0.408718,0.408718,404.667,1.795654,2816.506,5112.25,0.057947,0.1277,1.0,44100,2,193,0618B_v1.0.0
Moan (Trentemoeller Remix),Trentemøller,120.19,8B,445.447,0.5072,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/89. Trentemøller - Moan (Trentemoeller Remix).mp3,120.19,0.954,C major,0.11,8B,mid,50.72,3,0.187298,0.548792,0.548792,310.667,1.401124,1201.072,2150.648,0.018995,0.0545,1.0,44100,2,172,0618B_v1.0.0
Raum2,Isolée,114.84,6A,517.399,0.4999,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/90. Isolée - Raum2.mp3,114.84,0.998,G minor,0.199,6A,mid,49.99,3,0.148919,0.615207,0.615207,306.667,1.516101,1935.437,3333.677,0.043952,0.0878,1.0,44100,2,172,0618B_v1.0.0
Envy,Onur Özer,129.2,8B,401.32,0.5635,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/91. Onur Özer - Envy.mp3,129.2,0.991,C major,0.044,8B,dance,56.35,3,0.213003,0.467223,0.467223,354.667,1.747983,2087.005,4666.052,0.024519,0.0946,1.0,44100,2,192,0618B_v1.0.0
Jus Groove,Sascha Dive,120.19,8B,602.427,0.6076,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/92. Sascha Dive - Jus Groove.mp3,120.19,0.998,C major,0.067,8B,mid,60.76,4,0.206589,0.463963,0.463956,442.0,2.033761,3989.26,8795.008,0.040537,0.1809,1.0,44100,2,180,0618B_v1.0.0
Wombat,Wighnomy Bros.,120.19,4A,372.245,0.5685,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/93. Wighnomy Bros. - Wombat.mp3,120.19,0.926,F minor,0.154,4A,mid,56.85,3,0.208303,0.525975,0.525975,419.333,1.533267,2201.304,4297.982,0.027514,0.0998,1.0,44100,2,167,0618B_v1.0.0
Lemon,Dettinger,132.51,3A,355.345,0.4953,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/94. Dettinger - Lemon.mp3,132.51,0.991,A# minor,0.03,3A,dance,49.53,3,0.180989,0.456129,0.456124,304.0,1.323114,2585.476,4342.24,0.067746,0.1173,1.0,44100,2,197,0618B_v1.0.0
Takk Brett (Original Mix),Federico Molinari,126.05,10A,401.634,0.5432,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/95. Federico Molinari - Takk Brett (Original Mix).mp3,126.05,0.989,B minor,0.254,10A,dance,54.32,3,0.134096,0.661354,0.661337,302.0,1.817975,3583.049,6889.772,0.089242,0.1625,1.0,44100,2,187,0618B_v1.0.0
Body Language (Interpretation),Booka Shade,129.2,11A,300.279,0.5762,/Users/studio/Music/_INBOX/Playlists : Mixes/VA-Microhouse-Essentials-2021/96. Booka Shade - Body Language (Interpretation).mp3,129.2,0.934,F# minor,0.089,11A,dance,57.62,3,0.165621,0.595806,0.595317,427.333,1.646308,1895.898,3521.979,0.033278,0.086,1.0,44100,2,181,0618B_v1.0.0
